"X","GlobalEventID","Day","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_Fullname","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_ADM2Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_Fullname","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_ADM2Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_Fullname","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_ADM2Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","Dateadded","Sourceurl","CutURL","CutURL2"
456972,620895812,20170126,201701,2017,2017.0712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,1,42,42,4,"1",1.9,1,1,1,7.2992700729927,0,NA,NA,NA,NA,NA,NA,NA,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170126094500,"http://thenews-chronicle.com/why-chinese-are-leaving-nigeria-envoy/","thenews-ch","thenews-chron"
457018,620896197,20170126,201701,2017,2017.0712,"CHNCVL","CHINA","CHN",NA,NA,NA,NA,"CVL",NA,NA,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,1,42,42,4,"1",1.9,1,1,1,7.2992700729927,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170126094500,"http://thenews-chronicle.com/why-chinese-are-leaving-nigeria-envoy/","thenews-ch","thenews-chron"
467942,621090997,20170126,201701,2017,2017.0712,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,"NGA","LAGOS","NGA",NA,NA,NA,NA,NA,NA,NA,0,12,12,1,"1",-0.4,3,1,3,2.24852071005918,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Akinwunmi, Nigeria (general), Nigeria","NI","NI00",191237,7.36667,3.31667,"-1998745",20170126211500,"http://www.nairaland.com/3594763/lagos-launches-online-platform-interact","www.nairal","www.nairaland"
467943,621090998,20170126,201701,2017,2017.0712,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,"NGA","LAGOS","NGA",NA,NA,NA,NA,NA,NA,NA,0,12,12,1,"1",-0.4,4,1,4,2.24852071005918,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170126211500,"http://www.nairaland.com/3594763/lagos-launches-online-platform-interact","www.nairal","www.nairaland"
469309,621120312,20170126,201701,2017,2017.0712,"BFA","BURKINA FASO","BFA",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,1,111,111,11,"3",-2,6,1,6,-0.66225165562913,4,"Taipei, T'ai-pei, Taiwan","TW","TW03",13277,25.0478,121.532,"-2637882",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",20170126233000,"http://thenationonlineng.net/burkina-faso-snubs-chinas-50b-largesse-ditch-taiwan/","thenationo","thenationonli"
471155,621159172,20170127,201701,2017,2017.074,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"JPN","JAPAN","JPN",NA,NA,NA,NA,NA,NA,NA,0,20,20,2,"1",3,6,1,6,-1.46103896103896,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170127011500,"http://punchng.com/state-budgets-drive-development/","punchng.co","punchng.com/s"
475205,621231212,20170127,201701,2017,2017.074,"NGA","LAGOS","NGA",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,1,71,71,7,"2",7.4,10,1,10,0.83507306889353,4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",20170127064500,"http://www.thetidenewsonline.com/2017/01/27/fg-releases-n72bn-for-lagos-ibadan-rail-project-2/","www.thetid","www.thetidene"
484072,621361936,20170127,201701,2017,2017.074,"GMB","GAMBIAN","GMB",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,0,14,14,1,"1",0,5,1,5,-1.39275766016713,4,"Owerri, Imo, Nigeria","NI","NI28",191356,5.48333,7.03041,"-2024488",4,"Owerri, Imo, Nigeria","NI","NI28",191356,5.48333,7.03041,"-2024488",4,"Owerri, Imo, Nigeria","NI","NI28",191356,5.48333,7.03041,"-2024488",20170127153000,"http://thenationonlineng.net/okorocha-slams-pdp-comments-imo-airline/","thenationo","thenationonli"
489074,621462034,20170127,201701,2017,2017.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,1,61,61,6,"2",6.4,10,1,10,-3.91459074733096,0,NA,NA,NA,NA,NA,NA,NA,4,"Kano, Kano, Nigeria","NI","NI29",191030,11.9964,8.51667,"-2014610",4,"Kano, Kano, Nigeria","NI","NI29",191030,11.9964,8.51667,"-2014610",20170127220000,"http://www.channelstv.com/2017/01/27/son-set-rid-nigerian-markets-substandard-goods/","www.channe","www.channelst"
492371,621547579,20170128,201701,2017,2017.0767,"BUS","INVESTOR",NA,NA,NA,NA,NA,"BUS",NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,0,36,36,3,"1",4,2,1,2,1.67865707434053,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170128040000,"http://www.vanguardngr.com/2017/01/oba-benins-historicvisit-obaseki-palace-forges-partnership-govt-house/","www.vangua","www.vanguardn"
